# TWA 27b JWST emission spectrum
# NIRSpec binned from native sampling to R=400; MIRI rows unchanged from twa27b_JWST_em.txt
# NIRSpec errors remain the original convention of 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.985321e+00  2.481650e-03  6.916832e-10  2.075049e-11  boxcar  NIRSpec
1.990290e+00  2.487861e-03  6.734197e-10  2.020259e-11  boxcar  NIRSpec
1.995272e+00  2.494089e-03  6.841477e-10  2.052443e-11  boxcar  NIRSpec
2.000267e+00  2.500332e-03  6.786480e-10  2.035944e-11  boxcar  NIRSpec
2.005273e+00  2.506591e-03  6.737498e-10  2.021250e-11  boxcar  NIRSpec
2.010293e+00  2.512865e-03  6.878771e-10  2.063631e-11  boxcar  NIRSpec
2.015325e+00  2.519155e-03  6.927749e-10  2.078325e-11  boxcar  NIRSpec
2.020370e+00  2.525461e-03  7.098795e-10  2.129638e-11  boxcar  NIRSpec
2.025427e+00  2.531782e-03  7.104532e-10  2.131360e-11  boxcar  NIRSpec
2.030497e+00  2.538120e-03  7.249864e-10  2.174959e-11  boxcar  NIRSpec
